number,value,datetime_start,datetime_complete,duration,params_Kd_excite,params_Kd_inhib,params_Ki_excite,params_Ki_inhib,params_Kp_excite,params_Kp_inhib,state
0,0.0,2025-02-23 15:00:55.407333,2025-02-23 15:01:12.483812,0 days 00:00:17.076479,1.0,58.63053652362598,1.0,5.495545871729237,1.0,3.340458619681782,COMPLETE
1,0.0,2025-02-23 15:01:12.512812,2025-02-23 15:01:30.229752,0 days 00:00:17.716940,1.0,67.61323720447217,1.0,3.1364433587676643,1.0,3.119863263831954,COMPLETE
2,,2025-02-23 15:01:30.255752,2025-02-23 15:01:33.273957,0 days 00:00:03.018205,1.0,100.9496239129816,1.0,10.580216377335516,1.0,5.8562062097309795,FAIL
3,0.0,2025-02-23 15:02:34.543411,2025-02-23 15:02:51.622994,0 days 00:00:17.079583,1.0,75.93520906117931,1.0,1.3867880422750425,1.0,2.5734058469149588,COMPLETE
