trial_id,number,study_id,state,datetime_start,datetime_complete,trial_value_id,objective,value,value_type,Kd_excite,Kd_inhib,Ki_excite,Ki_inhib,Kp_excite,Kp_inhib
28,27,1,COMPLETE,2025-02-18 16:32:48.767573,2025-02-18 16:33:05.850572,28,0,8.613004679144403,FINITE,1.0,159.57531580815044,1.0,15.12067550310218,1.0,2.3523390024983555
29,28,1,COMPLETE,2025-02-18 16:33:05.877573,2025-02-18 16:33:22.951890,29,0,11.17447377213498,FINITE,1.0,142.77979803638874,1.0,6.995399522226229,1.0,1.246914383264192
30,29,1,COMPLETE,2025-02-18 16:33:22.979891,2025-02-18 16:33:40.049120,30,0,9.428713665218877,FINITE,1.0,126.76488955878852,1.0,3.7762830376874232,1.0,24.27795256577142
31,30,1,COMPLETE,2025-02-18 16:33:40.075123,2025-02-18 16:33:57.159586,31,0,15.742513368983927,FINITE,1.0,61.06204686224542,1.0,5.778229950119186,1.0,1.410347710210339
32,31,1,COMPLETE,2025-02-18 16:33:57.186586,2025-02-18 16:34:14.273573,32,0,12.478516042780747,FINITE,1.0,188.01915488212114,1.0,10.707082023609361,1.0,5.756672825733071
33,32,1,COMPLETE,2025-02-18 16:34:14.299575,2025-02-18 16:34:31.380869,33,0,5.838686058174526,FINITE,1.0,160.00551939366989,1.0,14.378621850942192,1.0,2.153999518633634
34,33,1,COMPLETE,2025-02-18 16:34:31.405963,2025-02-18 16:34:48.481697,34,0,13.028626795857011,FINITE,1.0,158.94782437438326,1.0,17.121889770024044,1.0,2.310795800247808
35,34,1,COMPLETE,2025-02-18 16:34:48.508698,2025-02-18 16:35:05.583864,35,0,9.073237554293376,FINITE,1.0,101.88541837833039,1.0,14.107410581666764,1.0,2.7950012092119554
36,35,1,COMPLETE,2025-02-18 16:35:05.612864,2025-02-18 16:35:22.696436,36,0,5.403753342246002,FINITE,1.0,165.46782133731662,1.0,9.252952245601568,1.0,1.7427160836386573
37,36,1,COMPLETE,2025-02-18 16:35:22.725437,2025-02-18 16:35:39.806896,37,0,8.600224005349384,FINITE,1.0,114.23845815177935,1.0,9.836614028238774,1.0,47.057054012089544
38,37,1,COMPLETE,2025-02-18 16:35:39.832891,2025-02-18 16:35:56.912157,38,0,5.723918421932471,FINITE,1.0,151.34447083847698,1.0,14.042456901563897,1.0,1.7073541585900691
39,38,1,COMPLETE,2025-02-18 16:35:56.938160,2025-02-18 16:36:14.024672,39,0,5.800912433155089,FINITE,1.0,147.43985626227717,1.0,8.331098227125874,1.0,1.7620112541659194
40,39,1,COMPLETE,2025-02-18 16:36:14.051672,2025-02-18 16:36:31.136462,40,0,6.776343582887721,FINITE,1.0,51.228208689268705,1.0,7.948760820819695,1.0,1.444027545504294
41,40,1,COMPLETE,2025-02-18 16:36:31.163462,2025-02-18 16:36:48.236377,41,0,6.457326203208578,FINITE,1.0,135.52993985011125,1.0,19.925521163226204,1.0,1.8433142274829466
42,41,1,COMPLETE,2025-02-18 16:36:48.263375,2025-02-18 16:37:05.335640,42,0,19.915762032085517,FINITE,1.0,135.07943939774663,1.0,19.562367888956146,1.0,1.8530832561285735
43,42,1,COMPLETE,2025-02-18 16:37:05.360963,2025-02-18 16:37:22.441108,43,0,11.911260026737986,FINITE,1.0,123.86068038448875,1.0,16.837603015418974,1.0,1.8358547665280713
44,43,1,COMPLETE,2025-02-18 16:37:22.495105,2025-02-18 16:37:39.579553,44,0,5.853937165775424,FINITE,1.0,148.2267530288167,1.0,12.526950725335755,1.0,1.2216844823637105
45,44,1,COMPLETE,2025-02-18 16:37:39.605553,2025-02-18 16:37:56.678348,45,0,6.611825476429321,FINITE,1.0,150.1527072425881,1.0,12.678940108995723,1.0,1.2610219148667905
46,45,1,COMPLETE,2025-02-18 16:37:56.705345,2025-02-18 16:38:13.777263,46,0,5.918980614973279,FINITE,1.0,149.44952400684303,1.0,9.432736499288577,1.0,1.0023194015652162
47,46,1,COMPLETE,2025-02-18 16:38:13.804264,2025-02-18 16:38:30.887483,47,0,6.399237967914442,FINITE,1.0,164.9646085086862,1.0,10.70869536837565,1.0,1.4708830727862452
48,47,1,COMPLETE,2025-02-18 16:38:30.914483,2025-02-18 16:38:47.999345,48,0,5.807259358288784,FINITE,1.0,116.67299819934159,1.0,12.336858461192262,1.0,1.2721546198220686
49,48,1,COMPLETE,2025-02-18 16:38:48.025314,2025-02-18 16:39:05.103998,49,0,5.7842092945503385,FINITE,1.0,117.8347395777088,1.0,8.749591361031358,1.0,1.6065422739996575
50,49,1,COMPLETE,2025-02-18 16:39:05.130000,2025-02-18 16:39:22.207083,50,0,7.54253676470587,FINITE,1.0,103.50292743096608,1.0,6.962246232427685,1.0,1.6295415861646751
51,50,1,COMPLETE,2025-02-18 16:39:22.230934,2025-02-18 16:39:39.301078,51,0,7.507963891675063,FINITE,1.0,94.53732139378299,1.0,8.959079418043272,1.0,2.785317894686932
52,51,1,COMPLETE,2025-02-18 16:39:39.327077,2025-02-18 16:39:56.402663,52,0,9.133676470588233,FINITE,1.0,111.71563946767922,1.0,10.669778306680273,1.0,1.984975989106219
53,52,1,COMPLETE,2025-02-18 16:39:56.428663,2025-02-18 16:40:13.512605,53,0,11.168743315508019,FINITE,1.0,121.78296987649884,1.0,13.546625552784086,1.0,1.6098294445822356
54,53,1,COMPLETE,2025-02-18 16:40:13.536604,2025-02-18 16:40:30.619274,54,0,11.793104946524052,FINITE,1.0,72.67938799266668,1.0,11.801448830842237,1.0,1.1649329097973864
55,54,1,COMPLETE,2025-02-18 16:40:30.648274,2025-02-18 16:40:47.730950,55,0,7.9365820247243475,FINITE,1.0,132.13910014139503,1.0,17.369605463425668,1.0,2.2324977551904843
56,55,1,COMPLETE,2025-02-18 16:40:47.760596,2025-02-18 16:41:04.831367,56,0,7.400478100969582,FINITE,1.0,117.00914130748625,1.0,7.889924661669487,1.0,1.3987291034352674
57,56,1,COMPLETE,2025-02-18 16:41:04.859367,2025-02-18 16:41:21.945395,57,0,6.304622326203209,FINITE,1.0,141.4156891227831,1.0,10.244447777708551,1.0,2.0834614562249696
58,57,1,COMPLETE,2025-02-18 16:41:21.973397,2025-02-18 16:41:39.045628,58,0,11.361350267379656,FINITE,1.0,106.31588887600823,1.0,8.883357843154421,1.0,3.3047406965454567
59,58,1,COMPLETE,2025-02-18 16:41:39.073628,2025-02-18 16:41:56.156807,59,0,8.110000000000024,FINITE,1.0,165.4688491103793,1.0,16.12237054724655,1.0,2.6610474104244166
60,59,1,COMPLETE,2025-02-18 16:41:56.185812,2025-02-18 16:42:13.255452,60,0,9.88325534759359,FINITE,1.0,94.34258355087485,1.0,6.664741499806282,1.0,1.139773875765537
61,60,1,COMPLETE,2025-02-18 16:42:13.281452,2025-02-18 16:42:30.379698,61,0,12.971042780748675,FINITE,1.0,186.20064011590765,1.0,11.459809626917787,1.0,4.396913405219087
62,61,1,COMPLETE,2025-02-18 16:42:30.411714,2025-02-18 16:42:47.510341,62,0,9.88776737967914,FINITE,1.0,153.16971174171942,1.0,12.059037912350883,1.0,1.6087527904368955
63,62,1,COMPLETE,2025-02-18 16:42:47.536341,2025-02-18 16:43:04.619090,63,0,12.345656531907764,FINITE,1.0,147.26421963221514,1.0,13.15014002393097,1.0,1.2517137594726822
64,63,1,COMPLETE,2025-02-18 16:43:04.645093,2025-02-18 16:43:21.727419,64,0,11.500347593582866,FINITE,1.0,166.57116181545425,1.0,14.927547723840744,1.0,1.0820583565656003
65,64,1,COMPLETE,2025-02-18 16:43:21.753419,2025-02-18 16:43:38.837982,65,0,8.22751085867025,FINITE,1.0,130.19598746978397,1.0,7.681309316396963,1.0,1.3287791143695695
