trial_id,number,study_id,state,datetime_start,datetime_complete,trial_value_id,objective,value,value_type,Kd_excite,Kd_inhib,Ki_excite,Ki_inhib,Kp_excite,Kp_inhib
1,0,1,COMPLETE,2025-02-23 16:54:23.944922,2025-02-23 16:55:28.998421,1,0,6.806432532347495,FINITE,1.0,127.74030597908137,1.0,7.824904349790201,1.0,13.853677458027791
2,1,1,COMPLETE,2025-02-23 16:55:29.029421,2025-02-23 16:55:46.097890,2,0,1.6922521075873127,FINITE,1.0,53.91330018511842,1.0,14.679729887024607,1.0,4.690371501374579
3,2,1,COMPLETE,2025-02-23 16:55:46.123894,2025-02-23 16:56:03.198029,3,0,1.8280691823899389,FINITE,1.0,107.19259469696432,1.0,3.383043984370023,1.0,1.464620800588801
4,3,1,COMPLETE,2025-02-23 16:56:03.224029,2025-02-23 16:56:20.297237,4,0,4.386683861459104,FINITE,1.0,180.53309913973968,1.0,2.4553824371731983,1.0,7.9368341909695035
5,4,1,COMPLETE,2025-02-23 16:56:20.321235,2025-02-23 16:56:37.381898,5,0,3.690200501253125,FINITE,1.0,53.76639755833092,1.0,3.903450467222488,1.0,1.1214340636566027
6,5,1,COMPLETE,2025-02-23 16:56:37.409897,2025-02-23 16:56:54.482122,6,0,4.819462184873946,FINITE,1.0,106.5740140983481,1.0,1.0156975098669492,1.0,11.406703923952547
7,6,1,COMPLETE,2025-02-23 16:56:54.509123,2025-02-23 16:57:11.574591,7,0,6.734658031088098,FINITE,1.0,104.61619839274033,1.0,1.3453077470362096,1.0,1.0449478509299672
8,7,1,COMPLETE,2025-02-23 16:57:11.600850,2025-02-23 16:57:28.673827,8,0,3.503351458230363,FINITE,1.0,51.75093868345366,1.0,1.002868144722276,1.0,16.950350208725148
9,8,1,COMPLETE,2025-02-23 16:57:28.700827,2025-02-23 16:57:45.771788,9,0,5.272212953876353,FINITE,1.0,108.30392340240428,1.0,2.141918768701569,1.0,13.642306027067736
10,9,1,COMPLETE,2025-02-23 16:57:45.798787,2025-02-23 16:58:02.872502,10,0,3.5944808743169427,FINITE,1.0,106.09465446444058,1.0,11.440896408777723,1.0,18.94866745838586
11,10,1,COMPLETE,2025-02-23 16:58:02.899499,2025-02-23 16:58:19.981811,11,0,8.80038461538461,FINITE,1.0,71.95504356674556,1.0,17.71281498749873,1.0,3.032513429127647
12,11,1,COMPLETE,2025-02-23 16:58:20.007812,2025-02-23 16:58:37.078815,12,0,13.62988896599583,FINITE,1.0,237.61297519255874,1.0,4.324493989911208,1.0,3.3202437610607154
13,12,1,COMPLETE,2025-02-23 16:58:37.105815,2025-02-23 16:58:54.188008,13,0,1.7410260972716587,FINITE,1.0,68.65297328762102,1.0,9.249082787404927,1.0,1.7912104722770457
14,13,1,COMPLETE,2025-02-23 16:58:54.211008,2025-02-23 16:59:11.290005,14,0,3.576747763864042,FINITE,1.0,72.41763669131362,1.0,7.889599518379692,1.0,5.594472425428528
15,14,1,COMPLETE,2025-02-23 16:59:11.319005,2025-02-23 16:59:28.393268,15,0,4.488245760355846,FINITE,1.0,68.53199203430226,1.0,19.78256337474816,1.0,2.34644948674995
16,15,1,COMPLETE,2025-02-23 16:59:28.418270,2025-02-23 16:59:45.492398,16,0,12.837542158515989,FINITE,1.0,60.25305602446305,1.0,8.089262339218164,1.0,1.8974680158039852
17,16,1,COMPLETE,2025-02-23 16:59:45.518397,2025-02-23 17:00:02.595160,17,0,22.035995288574775,FINITE,1.0,83.63492358490642,1.0,11.883842644764009,1.0,6.039592597006928
18,17,1,COMPLETE,2025-02-23 17:00:02.622161,2025-02-23 17:00:19.698261,18,0,8.931165385569171,FINITE,1.0,83.39681356530399,1.0,12.555530817529375,1.0,4.356721971610588
19,18,1,COMPLETE,2025-02-23 17:00:19.725261,2025-02-23 17:00:36.800720,19,0,6.689907338769453,FINITE,1.0,61.28129436332758,1.0,5.7342732661156885,1.0,3.7605683939019965
20,19,1,COMPLETE,2025-02-23 17:00:36.825720,2025-02-23 17:00:53.905296,20,0,3.0065825151940144,FINITE,1.0,149.87369016211892,1.0,15.21318459767085,1.0,2.1978505742309555
21,20,1,COMPLETE,2025-02-23 17:00:53.930296,2025-02-23 17:01:11.003203,21,0,3.616734972677592,FINITE,1.0,84.52855479898953,1.0,5.910521150023695,1.0,7.714903755895215
22,21,1,COMPLETE,2025-02-23 17:01:11.031200,2025-02-23 17:01:28.109712,22,0,1.2427172256097678,FINITE,1.0,58.77068841307697,1.0,3.0181286286609543,1.0,1.4895342110477687
23,22,1,COMPLETE,2025-02-23 17:01:28.133714,2025-02-23 17:01:45.205127,23,0,7.647612208258512,FINITE,1.0,58.11116417237488,1.0,2.9920088168869055,1.0,1.725337749249699
24,23,1,COMPLETE,2025-02-23 17:01:45.230127,2025-02-23 17:02:02.305530,24,0,9.81439836845682,FINITE,1.0,52.496132309021036,1.0,9.609146646720166,1.0,1.4328170827005788
25,24,1,COMPLETE,2025-02-23 17:02:02.330530,2025-02-23 17:02:19.412418,25,0,30.18568883232595,FINITE,1.0,64.99822262640363,1.0,5.514343247902639,1.0,2.5359711556291593
26,25,1,COMPLETE,2025-02-23 17:02:19.438418,2025-02-23 17:02:36.517099,26,0,19.28379928315414,FINITE,1.0,78.2584780527775,1.0,1.9139143540367611,1.0,1.3389432120339122
27,26,1,COMPLETE,2025-02-23 17:02:36.542099,2025-02-23 17:02:53.614315,27,0,2.359819241982513,FINITE,1.0,94.38034232279774,1.0,15.031574049813216,1.0,5.371214761582503
28,27,1,COMPLETE,2025-02-23 17:02:53.641315,2025-02-23 17:03:10.712502,28,0,1.5536915561758542,FINITE,1.0,57.93685105455438,1.0,10.074499541576921,1.0,3.0888539866028406
29,28,1,COMPLETE,2025-02-23 17:03:10.739501,2025-02-23 17:03:27.817952,29,0,4.717227342549916,FINITE,1.0,58.33607833798291,1.0,1.6108524105534308,1.0,4.222467540105068
30,29,1,COMPLETE,2025-02-23 17:03:27.844957,2025-02-23 17:03:44.924410,30,0,3.8903767123287705,FINITE,1.0,135.26889129618488,1.0,6.582360264295132,1.0,2.9389073684340006
31,30,1,COMPLETE,2025-02-23 17:03:44.950411,2025-02-23 17:04:02.030116,31,0,2.152720647773284,FINITE,1.0,50.14989180851311,1.0,2.702799572970684,1.0,7.946193209717722
32,31,1,COMPLETE,2025-02-23 17:04:02.057115,2025-02-23 17:04:19.139510,32,0,2.864512987012984,FINITE,1.0,65.01309427115343,1.0,9.699316365472527,1.0,1.9431797752052202
33,32,1,COMPLETE,2025-02-23 17:04:19.169511,2025-02-23 17:04:36.269015,33,0,0.46177167810355585,FINITE,1.0,56.47106877855862,1.0,9.68381273218099,1.0,1.6036064012628195
34,33,1,COMPLETE,2025-02-23 17:04:36.297015,2025-02-23 17:04:53.373773,34,0,2.2615023974427353,FINITE,1.0,56.54070895588811,1.0,4.71532902551178,1.0,1.283392629501149
35,34,1,COMPLETE,2025-02-23 17:04:53.402780,2025-02-23 17:05:10.472152,35,0,1.964718266253879,FINITE,1.0,77.21273939377919,1.0,14.137304056721094,1.0,1.5791990314711282
36,35,1,COMPLETE,2025-02-23 17:05:10.499152,2025-02-23 17:05:27.572315,36,0,6.490357327809416,FINITE,1.0,62.30856641815881,1.0,3.5045562174830205,1.0,2.705654243597132
37,36,1,COMPLETE,2025-02-23 17:05:27.599317,2025-02-23 17:05:44.679289,37,0,3.3776711452335353,FINITE,1.0,93.26886647519952,1.0,6.940098621101365,1.0,1.1469017561077395
38,37,1,COMPLETE,2025-02-23 17:05:44.705289,2025-02-23 17:06:01.777112,38,0,7.809825616355999,FINITE,1.0,56.318694822064906,1.0,11.221735283811814,1.0,3.6255020235685977
39,38,1,COMPLETE,2025-02-23 17:06:01.803116,2025-02-23 17:06:18.884191,39,0,15.826622911694546,FINITE,1.0,53.90664768321144,1.0,17.595897083323564,1.0,2.139570314275063
40,39,1,COMPLETE,2025-02-23 17:06:18.911191,2025-02-23 17:06:35.987704,40,0,4.964717607973428,FINITE,1.0,129.01338443269884,1.0,4.60962991960931,1.0,1.0214056971212837
41,40,1,COMPLETE,2025-02-23 17:06:36.014708,2025-02-23 17:06:53.089505,41,0,0.9094399410464276,FINITE,1.0,50.22726713849502,1.0,3.7744163287136994,1.0,6.654133036756179
42,41,1,COMPLETE,2025-02-23 17:06:53.119844,2025-02-23 17:07:10.203352,42,0,0.9939943476212896,FINITE,1.0,50.185527330411645,1.0,3.629734351505321,1.0,9.244385643988766
43,42,1,COMPLETE,2025-02-23 17:07:10.230353,2025-02-23 17:07:27.310827,43,0,4.470721426641455,FINITE,1.0,50.19081295042709,1.0,3.491935813764218,1.0,10.022028532782624
44,43,1,COMPLETE,2025-02-23 17:07:27.335827,2025-02-23 17:07:44.419098,44,0,1.7461050266779041,FINITE,1.0,54.89177950891993,1.0,2.40019735153438,1.0,7.122664513022726
45,44,1,COMPLETE,2025-02-23 17:07:44.446103,2025-02-23 17:08:01.515207,45,0,6.282015404364574,FINITE,1.0,66.41565913937731,1.0,4.044283002691504,1.0,10.199348830990742
46,45,1,COMPLETE,2025-02-23 17:08:01.541209,2025-02-23 17:08:18.611238,46,0,1.1751683608640378,FINITE,1.0,186.1865450870995,1.0,2.7009007635511875,1.0,6.4511296945676735
47,46,1,COMPLETE,2025-02-23 17:08:18.636237,2025-02-23 17:08:35.712960,47,0,3.2184660766961635,FINITE,1.0,180.1775304011998,1.0,2.88559360100282,1.0,13.368496201713036
48,47,1,COMPLETE,2025-02-23 17:08:35.739960,2025-02-23 17:08:52.817204,48,0,4.24245974458634,FINITE,1.0,228.86195186618485,1.0,2.003185915784849,1.0,6.479949847988367
49,48,1,COMPLETE,2025-02-23 17:08:52.845203,2025-02-23 17:09:09.918322,49,0,14.40123322683707,FINITE,1.0,210.2221094429235,1.0,3.130977159631862,1.0,8.995250979280971
50,49,1,COMPLETE,2025-02-23 17:09:09.945326,2025-02-23 17:09:27.020124,50,0,12.275201573254698,FINITE,1.0,119.8704257742521,1.0,2.5011151692954425,1.0,4.889970159258412
51,50,1,COMPLETE,2025-02-23 17:09:27.048123,2025-02-23 17:09:44.126581,51,0,19.994493159203962,FINITE,1.0,176.69591176844006,1.0,1.6755509941838997,1.0,11.701024837701654
52,51,1,COMPLETE,2025-02-23 17:09:44.154585,2025-02-23 17:10:01.234554,52,0,31.08202209944745,FINITE,1.0,53.63731927838718,1.0,3.806078768671134,1.0,6.614040698767365
53,52,1,COMPLETE,2025-02-23 17:10:01.261554,2025-02-23 17:10:18.346809,53,0,5.310496671787004,FINITE,1.0,60.78337905465352,1.0,5.103300882158008,1.0,8.36115978696321
54,53,1,COMPLETE,2025-02-23 17:10:18.371810,2025-02-23 17:10:35.440860,54,0,4.5942240696753815,FINITE,1.0,163.93066929838974,1.0,2.2969991352273107,1.0,5.496081164212076
55,54,1,COMPLETE,2025-02-23 17:10:35.468860,2025-02-23 17:10:52.542167,55,0,3.8826849775784775,FINITE,1.0,71.79111147144117,1.0,3.216434407344112,1.0,4.928376142947136
56,55,1,COMPLETE,2025-02-23 17:10:52.569166,2025-02-23 17:11:09.648494,56,0,2.037327380952379,FINITE,1.0,204.61219844343728,1.0,4.107427922732496,1.0,1.5930769569786523
57,56,1,COMPLETE,2025-02-23 17:11:09.675494,2025-02-23 17:11:26.758327,57,0,0.33957259953161445,FINITE,1.0,52.24818206929096,1.0,8.60471005985476,1.0,9.060429447736368
58,57,1,COMPLETE,2025-02-23 17:11:26.785326,2025-02-23 17:11:43.865675,58,0,4.284982019363786,FINITE,1.0,51.97156206774625,1.0,2.727568392667457,1.0,17.11425561267401
59,58,1,COMPLETE,2025-02-23 17:11:43.890676,2025-02-23 17:12:00.962117,59,0,3.481168868466398,FINITE,1.0,61.786455938217834,1.0,3.6673956455441665,1.0,8.933838985478557
60,59,1,COMPLETE,2025-02-23 17:12:00.988115,2025-02-23 17:12:18.064545,60,0,0.8724533413606207,FINITE,1.0,50.579965259490905,1.0,6.927089537731405,1.0,11.73971837021933
61,60,1,COMPLETE,2025-02-23 17:12:18.091268,2025-02-23 17:12:35.162311,61,0,4.488837209302321,FINITE,1.0,50.90772834130347,1.0,7.215596731877159,1.0,12.711961941677405
62,61,1,COMPLETE,2025-02-23 17:12:35.190314,2025-02-23 17:12:52.264248,62,0,3.3072023073753583,FINITE,1.0,54.580581298062576,1.0,8.790783393020924,1.0,9.95800130982859
63,62,1,COMPLETE,2025-02-23 17:12:52.291247,2025-02-23 17:13:09.367448,63,0,4.380457697642162,FINITE,1.0,50.07112146296569,1.0,7.946291229706049,1.0,15.670830858146378
64,63,1,COMPLETE,2025-02-23 17:13:09.397458,2025-02-23 17:13:26.480450,64,0,3.5473252103278243,FINITE,1.0,57.77275307184264,1.0,6.270818252505712,1.0,11.757174071932809
65,64,1,COMPLETE,2025-02-23 17:13:26.507450,2025-02-23 17:13:43.580864,65,0,6.88840207593555,FINITE,1.0,53.58183889976446,1.0,5.4469069807734325,1.0,7.51148417509162
66,65,1,COMPLETE,2025-02-23 17:13:43.607867,2025-02-23 17:14:00.687630,66,0,7.844298056155515,FINITE,1.0,63.29719418434871,1.0,4.94611048092618,1.0,14.928590345597003
67,66,1,COMPLETE,2025-02-23 17:14:00.714629,2025-02-23 17:14:17.789189,67,0,17.355540123456773,FINITE,1.0,59.17169419152437,1.0,8.569092248016293,1.0,6.114654688568397
68,67,1,COMPLETE,2025-02-23 17:14:17.818188,2025-02-23 17:14:34.889327,68,0,1.590335941095259,FINITE,1.0,68.98134802677865,1.0,10.524070563721303,1.0,10.831373919656182
69,68,1,COMPLETE,2025-02-23 17:14:34.915328,2025-02-23 17:14:51.998666,69,0,1.3977089397089444,FINITE,1.0,100.6003567397931,1.0,13.628700609473242,1.0,9.089974856823453
70,69,1,COMPLETE,2025-02-23 17:14:52.024669,2025-02-23 17:15:09.099701,70,0,1.6615799676898184,FINITE,1.0,55.45860837896683,1.0,7.307504561626552,1.0,7.0296129097716715
71,70,1,COMPLETE,2025-02-23 17:15:09.125700,2025-02-23 17:15:26.211327,71,0,3.633943990665119,FINITE,1.0,52.31776741574226,1.0,4.322080394853696,1.0,19.433717520852767
72,71,1,COMPLETE,2025-02-23 17:15:26.237327,2025-02-23 17:15:43.317076,72,0,9.441410414104128,FINITE,1.0,145.27018276094992,1.0,13.276079641757995,1.0,8.75517199165947
73,72,1,COMPLETE,2025-02-23 17:15:43.345076,2025-02-23 17:16:00.416888,73,0,18.170340425531933,FINITE,1.0,96.96952406093479,1.0,17.490759324975652,1.0,9.520657321922808
74,73,1,COMPLETE,2025-02-23 17:16:00.442888,2025-02-23 17:16:17.519210,74,0,27.607809629835675,FINITE,1.0,117.23474282850962,1.0,10.860420535290054,1.0,8.13799836795138
75,74,1,COMPLETE,2025-02-23 17:16:17.547210,2025-02-23 17:16:34.628616,75,0,1.0135786604361452,FINITE,1.0,102.46044470206871,1.0,12.549615734690349,1.0,12.421417815666967
76,75,1,COMPLETE,2025-02-23 17:16:34.656615,2025-02-23 17:16:51.738796,76,0,4.97680067001679,FINITE,1.0,89.51870912877439,1.0,11.82981387631913,1.0,10.947568759514153
77,76,1,COMPLETE,2025-02-23 17:16:51.766796,2025-02-23 17:17:08.842918,77,0,1.912833646616538,FINITE,1.0,75.8758557686484,1.0,3.272502070664764,1.0,13.930607955211784
