number,value,datetime_start,datetime_complete,duration,params_Kd_excite,params_Kd_inhib,params_Ki_excite,params_Ki_inhib,params_Kp_excite,params_Kp_inhib,state
31,2.864512987012984,2025-02-23 17:04:02.057115,2025-02-23 17:04:19.139510,0 days 00:00:17.082395,1.0,65.01309427115343,1.0,9.699316365472527,1.0,1.9431797752052202,COMPLETE
32,0.46177167810355585,2025-02-23 17:04:19.169511,2025-02-23 17:04:36.269015,0 days 00:00:17.099504,1.0,56.47106877855862,1.0,9.68381273218099,1.0,1.6036064012628195,COMPLETE
33,2.2615023974427353,2025-02-23 17:04:36.297015,2025-02-23 17:04:53.373773,0 days 00:00:17.076758,1.0,56.54070895588811,1.0,4.71532902551178,1.0,1.283392629501149,COMPLETE
34,1.964718266253879,2025-02-23 17:04:53.402780,2025-02-23 17:05:10.472152,0 days 00:00:17.069372,1.0,77.21273939377919,1.0,14.137304056721094,1.0,1.5791990314711282,COMPLETE
35,6.490357327809416,2025-02-23 17:05:10.499152,2025-02-23 17:05:27.572315,0 days 00:00:17.073163,1.0,62.30856641815881,1.0,3.5045562174830205,1.0,2.705654243597132,COMPLETE
36,3.3776711452335353,2025-02-23 17:05:27.599317,2025-02-23 17:05:44.679289,0 days 00:00:17.079972,1.0,93.26886647519952,1.0,6.940098621101365,1.0,1.1469017561077395,COMPLETE
37,7.809825616355999,2025-02-23 17:05:44.705289,2025-02-23 17:06:01.777112,0 days 00:00:17.071823,1.0,56.318694822064906,1.0,11.221735283811814,1.0,3.6255020235685977,COMPLETE
38,15.826622911694546,2025-02-23 17:06:01.803116,2025-02-23 17:06:18.884191,0 days 00:00:17.081075,1.0,53.90664768321144,1.0,17.595897083323564,1.0,2.139570314275063,COMPLETE
39,4.964717607973428,2025-02-23 17:06:18.911191,2025-02-23 17:06:35.987704,0 days 00:00:17.076513,1.0,129.01338443269884,1.0,4.60962991960931,1.0,1.0214056971212837,COMPLETE
40,0.9094399410464276,2025-02-23 17:06:36.014708,2025-02-23 17:06:53.089505,0 days 00:00:17.074797,1.0,50.22726713849502,1.0,3.7744163287136994,1.0,6.654133036756179,COMPLETE
41,0.9939943476212896,2025-02-23 17:06:53.119844,2025-02-23 17:07:10.203352,0 days 00:00:17.083508,1.0,50.185527330411645,1.0,3.629734351505321,1.0,9.244385643988766,COMPLETE
42,4.470721426641455,2025-02-23 17:07:10.230353,2025-02-23 17:07:27.310827,0 days 00:00:17.080474,1.0,50.19081295042709,1.0,3.491935813764218,1.0,10.022028532782624,COMPLETE
43,1.7461050266779041,2025-02-23 17:07:27.335827,2025-02-23 17:07:44.419098,0 days 00:00:17.083271,1.0,54.89177950891993,1.0,2.40019735153438,1.0,7.122664513022726,COMPLETE
44,6.282015404364574,2025-02-23 17:07:44.446103,2025-02-23 17:08:01.515207,0 days 00:00:17.069104,1.0,66.41565913937731,1.0,4.044283002691504,1.0,10.199348830990742,COMPLETE
45,1.1751683608640378,2025-02-23 17:08:01.541209,2025-02-23 17:08:18.611238,0 days 00:00:17.070029,1.0,186.1865450870995,1.0,2.7009007635511875,1.0,6.4511296945676735,COMPLETE
46,3.2184660766961635,2025-02-23 17:08:18.636237,2025-02-23 17:08:35.712960,0 days 00:00:17.076723,1.0,180.1775304011998,1.0,2.88559360100282,1.0,13.368496201713036,COMPLETE
47,4.24245974458634,2025-02-23 17:08:35.739960,2025-02-23 17:08:52.817204,0 days 00:00:17.077244,1.0,228.86195186618485,1.0,2.003185915784849,1.0,6.479949847988367,COMPLETE
48,14.40123322683707,2025-02-23 17:08:52.845203,2025-02-23 17:09:09.918322,0 days 00:00:17.073119,1.0,210.2221094429235,1.0,3.130977159631862,1.0,8.995250979280971,COMPLETE
49,12.275201573254698,2025-02-23 17:09:09.945326,2025-02-23 17:09:27.020124,0 days 00:00:17.074798,1.0,119.8704257742521,1.0,2.5011151692954425,1.0,4.889970159258412,COMPLETE
50,19.994493159203962,2025-02-23 17:09:27.048123,2025-02-23 17:09:44.126581,0 days 00:00:17.078458,1.0,176.69591176844006,1.0,1.6755509941838997,1.0,11.701024837701654,COMPLETE
51,31.08202209944745,2025-02-23 17:09:44.154585,2025-02-23 17:10:01.234554,0 days 00:00:17.079969,1.0,53.63731927838718,1.0,3.806078768671134,1.0,6.614040698767365,COMPLETE
52,5.310496671787004,2025-02-23 17:10:01.261554,2025-02-23 17:10:18.346809,0 days 00:00:17.085255,1.0,60.78337905465352,1.0,5.103300882158008,1.0,8.36115978696321,COMPLETE
53,4.5942240696753815,2025-02-23 17:10:18.371810,2025-02-23 17:10:35.440860,0 days 00:00:17.069050,1.0,163.93066929838974,1.0,2.2969991352273107,1.0,5.496081164212076,COMPLETE
54,3.8826849775784775,2025-02-23 17:10:35.468860,2025-02-23 17:10:52.542167,0 days 00:00:17.073307,1.0,71.79111147144117,1.0,3.216434407344112,1.0,4.928376142947136,COMPLETE
55,2.037327380952379,2025-02-23 17:10:52.569166,2025-02-23 17:11:09.648494,0 days 00:00:17.079328,1.0,204.61219844343728,1.0,4.107427922732496,1.0,1.5930769569786523,COMPLETE
56,0.33957259953161445,2025-02-23 17:11:09.675494,2025-02-23 17:11:26.758327,0 days 00:00:17.082833,1.0,52.24818206929096,1.0,8.60471005985476,1.0,9.060429447736368,COMPLETE
57,4.284982019363786,2025-02-23 17:11:26.785326,2025-02-23 17:11:43.865675,0 days 00:00:17.080349,1.0,51.97156206774625,1.0,2.727568392667457,1.0,17.11425561267401,COMPLETE
58,3.481168868466398,2025-02-23 17:11:43.890676,2025-02-23 17:12:00.962117,0 days 00:00:17.071441,1.0,61.786455938217834,1.0,3.6673956455441665,1.0,8.933838985478557,COMPLETE
59,0.8724533413606207,2025-02-23 17:12:00.988115,2025-02-23 17:12:18.064545,0 days 00:00:17.076430,1.0,50.579965259490905,1.0,6.927089537731405,1.0,11.73971837021933,COMPLETE
60,4.488837209302321,2025-02-23 17:12:18.091268,2025-02-23 17:12:35.162311,0 days 00:00:17.071043,1.0,50.90772834130347,1.0,7.215596731877159,1.0,12.711961941677405,COMPLETE
61,3.3072023073753583,2025-02-23 17:12:35.190314,2025-02-23 17:12:52.264248,0 days 00:00:17.073934,1.0,54.580581298062576,1.0,8.790783393020924,1.0,9.95800130982859,COMPLETE
62,4.380457697642162,2025-02-23 17:12:52.291247,2025-02-23 17:13:09.367448,0 days 00:00:17.076201,1.0,50.07112146296569,1.0,7.946291229706049,1.0,15.670830858146378,COMPLETE
63,3.5473252103278243,2025-02-23 17:13:09.397458,2025-02-23 17:13:26.480450,0 days 00:00:17.082992,1.0,57.77275307184264,1.0,6.270818252505712,1.0,11.757174071932809,COMPLETE
64,6.88840207593555,2025-02-23 17:13:26.507450,2025-02-23 17:13:43.580864,0 days 00:00:17.073414,1.0,53.58183889976446,1.0,5.4469069807734325,1.0,7.51148417509162,COMPLETE
65,7.844298056155515,2025-02-23 17:13:43.607867,2025-02-23 17:14:00.687630,0 days 00:00:17.079763,1.0,63.29719418434871,1.0,4.94611048092618,1.0,14.928590345597003,COMPLETE
66,17.355540123456773,2025-02-23 17:14:00.714629,2025-02-23 17:14:17.789189,0 days 00:00:17.074560,1.0,59.17169419152437,1.0,8.569092248016293,1.0,6.114654688568397,COMPLETE
